termA,idA,titleA,termB,idB,titleB,relatedness
love,17547,Love,sex,27546,Sexual intercourse,6.77
tiger,30075,Tiger,cat,6678,Cat,7.35
tiger,30075,Tiger,tiger,30075,Tiger,10
book,3778,Book,paper,16861908,Paper,7.46
computer,7878457,Computer,keyboard,18842281,Computer keyboard,7.62
computer,7878457,Computer,internet,14539,Internet,7.58
plane,46770,Fixed-wing aircraft,car,13673345,Automobile,5.77
train,30598,Train,car,13673345,Automobile,6.31
telephone,30003,Telephone,communication,33094374,Telecommunication,7.5
television,29831,Television,radio,173088,Radio broadcasting,6.77
media,19641,Mass media,radio,173088,Radio broadcasting,7.42
drug,9311172,Drug,abuse,424739,Abuse,6.85
bread,36969,Bread,butter,46183,Butter,6.19
cucumber,164491,Cucumber,potato,23501,Potato,5.92
doctor,23315,Physician,nurse,55292,Nurse,7
student,155526,Student,professor,20646803,Professor,6.81
smart,519280,Intelligence,student,155526,Student,4.62
smart,519280,Intelligence,stupid,19159221,Stupidity,5.81
company,4918223,Company,stock,19372783,Stock,7.08
stock,19372783,Stock,market,3736784,Market,8.08
stock,19372783,Stock,phone,30003,Telephone,1.62
stock,19372783,Stock,CD,6429,Compact disc,1.31
stock,19372783,Stock,jaguar,147676,Jaguar Cars,0.92
stock,19372783,Stock,egg,19196010,Egg (food),1.81
fertility,257215,Fertility,egg,41417635,Egg (biology),6.69
stock,19372783,Stock,life,18393,Life,0.92
book,3778,Book,library,17727,Library,7.46
bank,19360669,Bank,money,8983183,Money,8.12
wood,33550,Wood,forest,11090,Forest,7.73
money,8983183,Money,cash,55336,Cash,9.15
professor,20646803,Professor,cucumber,164491,Cucumber,0.31
king,10934824,King,cabbage,55115,Cabbage,0.23
king,10934824,King,queen,887147,Queen regnant,8.58
king,47485,King (chess),rook,47615,Rook (chess),5.92
bishop,4092,Bishop,rabbi,51273,Rabbi,6.69
Jerusalem,16043,Jerusalem,Israel,9282173,Israel,8.46
Jerusalem,16043,Jerusalem,Palestinian,23267,Palestinian people,7.65
holy,12178732,Sacred,sex,27546,Sexual intercourse,1.62
fuck,5575722,Fuck,sex,27546,Sexual intercourse,9.44
Maradona,8485,Diego Maradona,football,10568,Association football,8.62
football,10568,Association football,soccer,10568,Association football,9.03
football,18951490,American football,basketball,3921,Basketball,6.81
football,10568,Association football,tennis,29773,Tennis,6.63
tennis,29773,Tennis,racket,52664,Racket (sports equipment),7.56
Arafat,34289,Yasser Arafat,peace,24702,Peace,6.73
Arafat,34289,Yasser Arafat,terror,30636,Terrorism,7.65
Arafat,34289,Yasser Arafat,Jackson,14995351,Michael Jackson,2.5
law,18949668,Law,lawyer,17541,Lawyer,8.38
movie,21555729,Film,star,5796,Celebrity,7.38
movie,21555729,Film,popcorn,232176,Popcorn,6.19
movie,21555729,Film,critic,11065202,Film criticism,6.73
movie,21555729,Film,theater,77819,Movie theater,7.92
physics,22939,Physics,proton,23317,Proton,8.12
physics,22939,Physics,chemistry,5180,Chemistry,7.35
space,27667,Space,chemistry,5180,Chemistry,4.88
alcohol,1014,Alcohol,chemistry,5180,Chemistry,5.54
vodka,32787,Vodka,gin,12988,Gin,8.46
vodka,32787,Vodka,brandy,45189,Brandy,8.13
